Course Name,Original Price (EUR),Adjusted Price (EUR)
Basisprincipes Programmeren / Programming Fundamentals,2200,1650
Python (met ChatGPT),2095,1575
Python Deep Learning,4250,3195
Werken met Large Language Models in Python,2555,1925
Apache Kafka voor Python,2330,1750
R Programmeren,2570,1925
Data Analyse,3180,2625
Python voor Data Science,2680,3295
Data Science Management,1600,1200
Data Strategie,1735,1300
Data Modeling,3315,2495
Data Build Tool (dbt),2335,1750
Apache Airflow,2445,1825
Anchor Modelling,1860,1395
Data Management DAMA-DMBOK,2505,1875
Big Data,2940,2025
Apache Mahout,2850,2125
Apache Pig,1370,1025
Data Mining,2105,1575
Qlik Sense,2250,1695
Google Data Studio,730,550
Business Objects,2660,1995
Klipfolio,2455,1850
RapidMiner,1900,1425
Infographics,765,575
SAS,2550,1900
Splunk,2130,1595
IBM Watson Analytics,2930,2195
Kunstmatige Intelligentie,1255,950
Machine Learning,3865,1800
Machine Learning Studio (Azure),2380,1050
Machine Learning met DataRobot,3215,2400
Azure Machine Learning,3240,3595
TensorFlow,2935,2250
AI Automation,3075,1350
Hyperautomation,2775,2075
Milvus (vector database),2275,1700
AWS Essentials,2820,2125
AWS Cloud Development Kit (CDK),2660,1995
AWS Monitoring,1815,1350
AWS Security,2655,1995
Microsoft Azure,4925,2250
Azure Kubernetes Service (AKS),2735,1200
Azure SQL Database,3205,1200
Azure Data Factory,2375,1775
Azure Synapse Analytics,3110,2325
Azure DevOps,2830,2125
Azure Test Plans,1960,1475
Azure Logic Apps,1305,975
Azure Monitor,1420,1075
Azure Backup,1325,995
Azure Arc,3075,2300
Azure Security Technologies (AZ-500),3485,2625
Windows Virtual Desktop,3310,2475
Microsoft 365 Copilot,830,625
Microsoft 365 Security,1210,900
Microsoft Sentinel,2795,2095
SSIS (SQL Server Integration Services),2230,1675
Microsoft Fabric (end-to-end data platform),3120,1875
Microsoft Fabric met machine learning,2805,2100
Microsoft Fabric Data Pipelines,3175,2375
SQL,2095,1050
Oracle SQL,1990,1495
Oracle Apex Professional,3020,2275
Oracle BPM Suite,4645,3475
Oracle Spatial,2765,2075
SQL Server Business Intelligence,3580,3225
MongoDB,1445,3000
Redis,1445,1075
Performance Tuning in Oracle database,3110,2325
Docker,2165,1200
Docker Enterprise,2555,1200
Kubernetes voor platform- en cloud engineers,3180,1200
Kubernetes voor developers (CKAD),2805,1275
DevSecOps,1175,875
PowerShell,1035,775
API Development,2140,1600
REST Services,1360,1025
GraphQL,2985,2250
